IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.145.8.216,443,443,true,FRA,Europe,Frankfurt,366,8.66
132.226.132.12,443,443,true,FRA,Europe,Frankfurt,293,8.65
158.178.148.125,443,443,true,FRA,Europe,Frankfurt,350,8.64
150.230.120.67,443,443,true,FRA,Europe,Frankfurt,250,8.62
144.21.58.70,443,443,true,FRA,Europe,Frankfurt,317,8.61
141.147.75.59,443,443,true,FRA,Europe,Frankfurt,268,8.59
84.8.151.34,443,443,true,FRA,Europe,Frankfurt,420,8.57
129.159.255.53,443,443,true,FRA,Europe,Frankfurt,237,8.55
132.145.54.84,2053,443,true,LHR,Europe,London,411,8.51
143.47.230.245,443,443,true,FRA,Europe,Frankfurt,274,8.51
158.178.146.125,443,443,true,FRA,Europe,Frankfurt,358,8.48
150.230.120.183,443,443,true,FRA,Europe,Frankfurt,339,8.43
138.2.143.38,443,443,true,FRA,Europe,Frankfurt,284,8.37
158.178.150.234,443,443,true,FRA,Europe,Frankfurt,371,8.36
144.24.166.21,443,443,true,FRA,Europe,Frankfurt,298,8.35
141.147.95.226,443,443,true,FRA,Europe,Frankfurt,235,8.33
141.144.195.82,443,443,true,FRA,Europe,Frankfurt,327,8.32
141.144.252.178,443,443,true,FRA,Europe,Frankfurt,299,8.31
79.76.113.49,443,443,true,FRA,Europe,Frankfurt,240,8.31
143.47.227.239,443,443,true,FRA,Europe,Frankfurt,325,8.31
84.8.151.127,443,443,true,FRA,Europe,Frankfurt,401,8.30
130.162.190.161,443,443,true,FRA,Europe,Frankfurt,305,8.29
141.147.118.121,443,443,true,FRA,Europe,Frankfurt,224,8.29
132.145.228.156,443,443,true,FRA,Europe,Frankfurt,381,8.27
79.76.117.53,443,443,true,FRA,Europe,Frankfurt,172,8.26
158.101.201.93,443,443,true,FRA,Europe,Frankfurt,374,8.26
130.162.173.15,443,443,true,FRA,Europe,Frankfurt,308,8.25
143.47.241.78,443,443,true,FRA,Europe,Frankfurt,277,8.25
84.8.158.4,443,443,true,FRA,Europe,Frankfurt,448,8.25
152.70.173.194,443,443,true,FRA,Europe,Frankfurt,244,8.23
130.162.233.113,443,443,true,FRA,Europe,Frankfurt,245,8.23
144.21.51.247,443,443,true,FRA,Europe,Frankfurt,295,8.21
138.3.247.62,443,443,true,FRA,Europe,Frankfurt,316,8.18
141.144.248.159,443,443,true,FRA,Europe,Frankfurt,216,8.17
158.178.148.49,443,443,true,FRA,Europe,Frankfurt,431,8.16
152.70.58.97,443,443,true,FRA,Europe,Frankfurt,410,8.16
144.21.52.7,443,443,true,FRA,Europe,Frankfurt,326,8.13
89.168.86.44,443,443,true,FRA,Europe,Frankfurt,278,8.13
138.2.175.57,443,443,true,FRA,Europe,Frankfurt,277,8.12
79.72.83.95,443,443,true,FRA,Europe,Frankfurt,284,8.12
158.101.201.147,443,443,true,FRA,Europe,Frankfurt,399,8.12
79.72.86.222,443,443,true,FRA,Europe,Frankfurt,312,8.11
152.67.133.165,443,443,true,FRA,Europe,Frankfurt,368,8.07
130.162.33.75,443,443,true,FRA,Europe,Frankfurt,347,8.06
158.179.206.143,443,443,true,ARN,Europe,Stockholm,420,8.03
141.148.233.28,443,443,true,FRA,Europe,Frankfurt,292,8.02
130.162.213.1,443,443,true,FRA,Europe,Frankfurt,267,8.01
152.70.54.79,443,443,true,FRA,Europe,Frankfurt,446,7.97
152.67.136.227,443,443,true,FRA,Europe,Frankfurt,371,7.92
158.178.156.86,443,443,true,FRA,Europe,Frankfurt,355,7.88
89.168.121.110,443,443,true,FRA,Europe,Frankfurt,217,7.87
130.162.211.172,443,443,true,FRA,Europe,Frankfurt,242,7.86
152.70.51.16,443,443,true,FRA,Europe,Frankfurt,411,7.84
129.159.241.251,443,443,true,FRA,Europe,Frankfurt,307,7.84
141.147.94.168,443,443,true,FRA,Europe,Frankfurt,237,7.76
141.147.101.60,443,443,true,FRA,Europe,Frankfurt,262,7.76
138.2.162.6,443,443,true,FRA,Europe,Frankfurt,337,7.75
79.76.110.227,443,443,true,FRA,Europe,Frankfurt,295,7.73
150.230.121.46,443,443,true,FRA,Europe,Frankfurt,189,7.71
141.147.113.113,443,443,true,FRA,Europe,Frankfurt,246,7.70
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,255,7.67
141.147.104.124,443,443,true,FRA,Europe,Frankfurt,307,7.66
130.162.212.81,443,443,true,FRA,Europe,Frankfurt,314,7.59
158.178.158.180,443,443,true,FRA,Europe,Frankfurt,255,7.57
158.180.18.7,443,443,true,FRA,Europe,Frankfurt,319,7.55
141.144.198.85,443,443,true,FRA,Europe,Frankfurt,229,7.52
143.47.254.46,443,443,true,FRA,Europe,Frankfurt,301,7.49
138.2.139.4,443,443,true,FRA,Europe,Frankfurt,361,7.46
158.178.156.188,443,443,true,FRA,Europe,Frankfurt,371,7.46
141.144.230.247,443,443,true,FRA,Europe,Frankfurt,226,7.45
143.47.252.107,443,443,true,FRA,Europe,Frankfurt,228,7.44
84.235.162.180,443,443,true,FRA,Europe,Frankfurt,228,7.43
143.47.244.202,443,443,true,FRA,Europe,Frankfurt,256,7.43
79.72.74.176,443,443,true,FRA,Europe,Frankfurt,296,7.37
152.67.148.23,443,443,true,FRA,Europe,Frankfurt,484,7.36
141.144.198.187,443,443,true,FRA,Europe,Frankfurt,312,7.32
79.72.70.99,443,443,true,FRA,Europe,Frankfurt,309,7.27
141.147.92.213,443,443,true,FRA,Europe,Frankfurt,231,7.24
130.162.224.154,443,443,true,FRA,Europe,Frankfurt,213,7.24
130.162.61.144,443,443,true,FRA,Europe,Frankfurt,279,7.21
68.233.127.163,8443,443,true,YUL,North America,Montréal,295,7.21
158.101.223.134,443,443,true,FRA,Europe,Frankfurt,292,7.18
164.152.26.70,2086,443,true,ORD,North America,Chicago,208,7.16
164.152.26.70,2052,443,true,ORD,North America,Chicago,239,7.12
129.159.244.64,443,443,true,FRA,Europe,Frankfurt,304,7.07
150.230.125.111,443,443,true,FRA,Europe,Frankfurt,319,7.06
158.178.150.193,443,443,true,FRA,Europe,Frankfurt,332,7.01
140.84.179.114,443,443,true,DFW,North America,Dallas,354,7.01
141.144.204.74,443,443,true,FRA,Europe,Frankfurt,302,6.88
129.151.198.3,2053,443,true,ARN,Europe,Stockholm,333,6.84
143.47.238.221,443,443,true,FRA,Europe,Frankfurt,297,6.82
143.47.181.129,443,443,true,FRA,Europe,Frankfurt,283,6.81
150.230.118.189,443,443,true,FRA,Europe,Frankfurt,380,6.81
158.101.209.234,443,443,true,FRA,Europe,Frankfurt,350,6.79
89.168.112.118,8443,443,true,FRA,Europe,Frankfurt,248,6.78
129.146.46.164,443,443,true,LAX,North America,Los Angeles,345,6.78
130.162.247.141,443,443,true,FRA,Europe,Frankfurt,252,6.74
141.147.84.253,443,443,true,FRA,Europe,Frankfurt,263,6.71
143.47.178.68,443,443,true,FRA,Europe,Frankfurt,344,6.71
130.162.184.242,443,443,true,FRA,Europe,Frankfurt,240,6.68
141.147.72.44,443,443,true,FRA,Europe,Frankfurt,174,6.68
